datetime,open,high,low,close,volume
2016-03-02,25.1275,25.2225,24.91,25.1875,33169600
2016-03-03,25.145,25.4275,25.1125,25.375,36955700
2016-03-04,25.5925,25.9375,25.3425,25.7525,46055100
2016-03-07,25.5975,25.7075,25.24,25.4675,35828900
2016-03-08,25.195,25.44,25.1,25.2575,31561900
2016-03-09,25.3275,25.395,25.0675,25.28,27201700
2016-03-10,25.3525,25.56,25.0375,25.2925,33513600
2016-03-11,25.56,25.57,25.375,25.565,27408200
2016-03-14,25.4775,25.7275,25.445,25.63,25076100
2016-03-15,25.99,26.295,25.9625,26.145,40067700
2016-03-16,26.1525,26.5775,26.1475,26.4925,38303500
2016-03-17,26.38,26.6175,26.24,26.45,34420700
2016-03-18,26.585,26.625,26.2975,26.48,44205200
2016-03-21,26.4825,26.9125,26.285,26.4775,35502700
2016-03-22,26.3125,26.8225,26.3025,26.68,32444400
2016-03-23,26.62,26.7675,26.475,26.5325,25703500
2016-03-24,26.3675,26.5625,26.2225,26.4175,26133000
2016-03-28,26.5,26.5475,26.265,26.2975,19411400
2016-03-29,26.2225,26.9475,26.22,26.92,31190100
2016-03-30,27.1625,27.605,27.15,27.39,45601100
2016-03-31,27.43,27.475,27.22,27.2475,25888400
2016-04-01,27.195,27.5,27.05,27.4975,25874000
2016-04-04,27.605,28.0475,27.5675,27.78,37356200
2016-04-05,27.3775,27.6825,27.355,27.4525,26578700
2016-04-06,27.5575,27.745,27.3,27.74,26404100
2016-04-07,27.4875,27.605,27.03,27.135,31801900
2016-04-08,27.2275,27.4425,27.0425,27.165,23581700
2016-04-11,27.2425,27.6525,27.2075,27.255,29407500
2016-04-12,27.335,27.625,27.165,27.61,27232300
2016-04-13,27.7,28.085,27.7,28.01,33257300
2016-04-14,27.905,28.0975,27.8325,28.025,25473900
2016-04-15,28.0275,28.075,27.4325,27.4625,46939000
2016-04-18,27.2225,27.2375,26.735,26.87,60821500
2016-04-19,26.97,27.0,26.5575,26.7275,32384900
2016-04-20,26.66,27.0225,26.515,26.7825,30611000
2016-04-21,26.7325,26.7325,26.38,26.4925,31552500
2016-04-22,26.2525,26.62,26.155,26.42,33683100
2016-04-25,26.25,26.4125,26.1275,26.27,28031600
2016-04-26,25.9775,26.325,25.9775,26.0875,56016200
2016-04-27,24.0,24.6775,23.92,24.455,114602100
2016-04-28,24.4025,24.47,23.5625,23.7075,82242700
2016-04-29,23.4975,23.68,23.1275,23.435,68531500
2016-05-02,23.4925,23.52,23.1,23.41,48160100
2016-05-03,23.55,23.935,23.42,23.795,56831300
2016-05-04,23.8,23.975,23.455,23.5475,41025500
2016-05-05,23.5,23.5175,23.17,23.31,35890500
2016-05-06,23.3425,23.3625,22.9625,23.18,43699900
2016-05-09,23.25,23.4425,23.1475,23.1975,32936400
2016-05-10,23.3325,23.3925,23.0275,23.355,33686800
2016-05-11,23.37,23.3925,23.115,23.1275,28719100
2016-05-12,23.18,23.195,22.3675,22.585,76314700
2016-05-13,22.5,22.9175,22.5,22.63,44392800
2016-05-16,23.0975,23.5975,22.9125,23.47,61259800
2016-05-17,23.6375,23.675,23.2525,23.3725,46916900
2016-05-18,23.54,23.8025,23.4725,23.64,42062400
2016-05-19,23.66,23.66,23.3925,23.55,30442100
2016-05-20,23.66,23.8575,23.63,23.805,32026000
2016-05-23,23.9675,24.2975,23.9175,24.1075,38018600
2016-05-24,24.305,24.5225,24.21,24.475,35140200
2016-05-25,24.6675,24.935,24.5275,24.905,38168800
2016-05-26,24.92,25.1825,24.66,25.1025,56331200
2016-05-27,24.86,25.1175,24.8125,25.0875,36341200
2016-05-31,24.9,25.1,24.705,24.965,42307200
2016-06-01,24.755,24.885,24.5825,24.615,29173300
2016-06-02,24.4,24.46,24.1575,24.43,40191600
2016-06-03,24.4475,24.5675,24.3625,24.48,28504900
2016-06-06,24.4975,25.4725,24.3875,24.6575,23292500
2016-06-07,24.8125,24.9675,24.74,24.7575,22409500
2016-06-08,24.755,24.89,24.67,24.735,20848100
2016-06-09,24.625,24.9975,24.615,24.9125,26601400
2016-06-10,24.6325,24.8375,24.62,24.7075,31712900
2016-06-13,24.6725,24.78,24.275,24.335,38020500
2016-06-14,24.33,24.62,24.1875,24.365,31931900
2016-06-15,24.455,24.6025,24.2575,24.285,29445200
2016-06-16,24.1125,24.4375,24.0175,24.3875,31326800
2016-06-17,24.155,24.1625,23.825,23.8325,61008200
2016-06-20,24.0,24.1425,23.7575,23.775,34411900
2016-06-21,23.735,24.0875,23.67,23.9775,35546400
2016-06-22,24.0625,24.2225,23.8375,23.8875,29219100
2016-06-23,23.985,24.0725,23.8125,24.025,32240200
2016-06-24,23.2275,23.665,23.1625,23.35,75311400
2016-06-27,23.25,23.2625,22.875,23.01,45489600
2016-06-28,23.225,23.415,23.035,23.3975,40444900
2016-06-29,23.4925,23.6375,23.4075,23.6,36531000
2016-06-30,23.61,23.9425,23.575,23.9,35836400
2016-07-01,23.8725,24.1175,23.8325,23.9725,26026500
2016-07-05,23.8475,23.85,23.615,23.7475,27705200
2016-07-06,23.65,23.915,23.5925,23.8825,30949100
2016-07-07,23.925,24.125,23.905,23.985,25139600
2016-07-08,24.1225,24.2225,24.0125,24.17,28912100
2016-07-11,24.1875,24.4125,24.1825,24.245,23794900
2016-07-12,24.2925,24.425,24.28,24.355,24167500
2016-07-13,24.3525,24.4175,24.21,24.2175,25892200
2016-07-14,24.3475,24.7475,24.33,24.6975,38919000
2016-07-15,24.73,24.825,24.625,24.695,30137000
2016-07-18,24.675,25.0325,24.65,24.9575,36493900
2016-07-19,24.89,25.0,24.835,24.9675,23779900
2016-07-20,25.0,25.115,24.935,24.99,26276000
2016-07-21,24.9575,25.25,24.7825,24.8575,32702000
2016-07-22,24.815,24.825,24.5775,24.665,28313700
2016-07-25,24.5625,24.71,24.23,24.335,40382900
2016-07-26,24.205,24.4925,24.105,24.1675,56239800
2016-07-27,26.0675,26.0875,25.6875,25.7375,92344800
2016-07-28,25.7075,26.1125,25.705,26.085,39869800
2016-07-29,26.0475,26.1375,25.92,26.0525,27733700
2016-08-01,26.1025,26.5375,26.1025,26.5125,38167900
2016-08-02,26.5125,26.5175,26.0,26.12,33816600
2016-08-03,26.2025,26.46,26.1925,26.4475,30202600
2016-08-04,26.395,26.5,26.32,26.4675,27408700
2016-08-05,26.5675,26.9125,26.545,26.87,40553400
2016-08-08,26.88,27.0925,26.79,27.0925,28037200
2016-08-09,27.0575,27.235,27.0025,27.2025,26315200
2016-08-10,27.1775,27.225,26.94,27.0,24008500
2016-08-11,27.13,27.2325,26.9625,26.9825,27484500
2016-08-12,26.945,27.11,26.945,27.045,18660400
2016-08-15,27.035,27.385,27.02,27.37,25868200
2016-08-16,27.4075,27.5575,27.3025,27.345,33794400
2016-08-17,27.275,27.3425,27.085,27.305,25356000
2016-08-18,27.3075,27.4,27.255,27.27,21984700
2016-08-19,27.1925,27.4225,27.09,27.34,25368100
2016-08-22,27.215,27.275,26.9625,27.1275,25820200
2016-08-23,27.1475,27.33,27.1325,27.2125,21257700
2016-08-24,27.1425,27.1875,26.92,27.0075,23675100
2016-08-25,26.8475,26.97,26.67,26.8925,25086200
2016-08-26,26.8525,26.9875,26.5775,26.735,27766300
2016-08-29,26.655,26.86,26.5725,26.705,24970300
2016-08-30,26.45,26.625,26.375,26.5,24863900
2016-08-31,26.415,26.6425,26.41,26.525,29662400
2016-09-01,26.535,26.7,26.405,26.6825,26701500
2016-09-02,26.925,27.0,26.705,26.9325,26802500
2016-09-06,26.975,27.075,26.8775,26.925,26880400
2016-09-07,26.9575,27.19,26.7675,27.09,42364300
2016-09-08,26.8125,26.8175,26.31,26.38,53002000
2016-09-09,26.16,26.43,25.7825,25.7825,46557000
2016-09-12,25.6625,26.43,25.6325,26.36,45292800
2016-09-13,26.8775,27.1975,26.81,26.9875,62176200
2016-09-14,27.1825,28.2575,27.15,27.9425,110888700
2016-09-15,28.465,28.9325,28.3725,28.8925,89983600
2016-09-16,28.78,29.0325,28.51,28.73,79886900
2016-09-19,28.7975,29.045,28.3125,28.395,47023000
2016-09-20,28.2625,28.53,28.1275,28.3925,34514300
2016-09-21,28.4625,28.4975,28.11,28.3875,36003200
2016-09-22,28.5875,28.735,28.5,28.655,31074000
2016-09-23,28.605,28.6975,27.8875,28.1775,52481200
2016-09-26,27.91,28.3475,27.8875,28.22,29869400
2016-09-27,28.25,28.295,28.085,28.2725,24607400
2016-09-28,28.4225,28.66,28.3575,28.4875,29641100
2016-09-29,28.29,28.45,27.95,28.045,35887000
2016-09-30,28.115,28.3425,27.95,28.2625,36379100
2016-10-03,28.1775,28.2625,28.07,28.13,21701800
2016-10-04,28.265,28.5775,28.1575,28.25,29736800
2016-10-05,28.35,28.415,28.1725,28.2625,21453100
2016-10-06,28.425,28.585,28.2825,28.4725,28779300
2016-10-07,28.5775,28.64,28.3775,28.515,24358400
2016-10-10,28.755,29.1875,28.68,29.0125,36236000
2016-10-11,29.425,29.6725,29.05,29.075,64041000
2016-10-12,29.3375,29.495,29.1875,29.335,37586800
2016-10-13,29.1975,29.36,28.93,29.245,35192400
2016-10-14,29.47,29.5425,29.2825,29.4075,35652200
2016-10-17,29.3325,29.46,29.195,29.3875,23624900
2016-10-18,29.545,29.5525,29.3625,29.3675,24553500
2016-10-19,29.3125,29.44,28.45,29.28,20034600
2016-10-20,29.215,29.345,29.0825,29.265,24125800
2016-10-21,29.2025,29.2275,29.07,29.15,23192700
2016-10-24,29.275,29.435,29.25,29.4125,23538700
2016-10-25,29.4875,29.59,29.3275,29.5625,48129000
2016-10-26,28.5775,28.925,28.3275,28.8975,66134200
2016-10-27,28.8475,28.965,28.525,28.62,34562000
2016-10-28,28.4675,28.8025,28.3625,28.43,37861700
2016-10-31,28.4125,28.5575,28.3,28.385,26419400
2016-11-01,28.365,28.4425,27.6325,27.8725,43825800
2016-11-02,27.85,28.0875,27.8075,27.8975,28331700
2016-11-03,27.745,27.865,27.3875,27.4575,26932600
2016-11-04,27.1325,27.5625,27.0275,27.21,30837000
2016-11-07,27.52,27.6275,27.365,27.6025,32560000
2016-11-08,27.5775,27.93,27.425,27.765,24254200
2016-11-09,27.47,27.83,27.0125,27.72,59176400
2016-11-10,27.7725,27.7725,26.4575,26.9475,57134500
2016-11-11,26.78,27.2175,26.6375,27.1075,34143900
2016-11-14,26.9275,26.9525,26.02,26.4275,51175500
2016-11-15,26.6425,26.92,26.54,26.7775,32264500
2016-11-16,26.675,27.5575,26.65,27.4975,58840500
2016-11-17,27.4525,27.5875,27.2075,27.4875,27632000
2016-11-18,27.43,27.635,27.415,27.515,28428900
2016-11-21,27.53,27.9975,27.5025,27.9325,29264600
2016-11-22,27.9875,28.105,27.85,27.95,25965500
2016-11-23,27.84,27.8775,27.5825,27.8075,27426400
2016-11-25,27.7825,27.9675,27.7375,27.9475,11475900
2016-11-28,27.8575,28.1175,27.8475,27.8925,27194000
2016-11-29,27.695,28.0075,27.5175,27.865,28528800
2016-11-30,27.9,28.05,27.5675,27.63,36162300
2016-12-01,27.5925,27.735,27.2575,27.3725,37086900
2016-12-02,27.2925,27.5225,27.2125,27.475,26528000
2016-12-05,27.5,27.5075,27.0625,27.2775,34324500
2016-12-06,27.375,27.59,27.2975,27.4875,26195500
2016-12-07,27.315,27.7975,27.29,27.7575,29998700
2016-12-08,27.715,28.1075,27.65,28.03,27068300
2016-12-09,28.0775,28.675,28.0775,28.4875,34402600
2016-12-12,28.3225,28.75,28.1225,28.325,26374400
2016-12-13,28.46,28.98,28.4375,28.7975,43733800
2016-12-14,28.76,29.05,28.745,28.7975,34031800
2016-12-15,28.845,29.1825,28.8075,28.955,46524500
2016-12-16,29.1175,29.125,28.9125,28.9925,44351100
2016-12-19,28.95,29.345,28.9375,29.16,27779400
2016-12-20,29.185,29.375,29.17,29.2375,21425000
2016-12-21,29.2,29.35,29.195,29.265,23783200
2016-12-22,29.0875,29.1275,28.91,29.0725,26085900
2016-12-23,28.8975,29.13,28.8975,29.13,14249500
2016-12-27,29.13,29.45,29.1225,29.315,18296900
2016-12-28,29.38,29.505,29.05,29.19,20905900
2016-12-29,29.1125,29.2775,29.1,29.1825,15039500
2016-12-30,29.1625,29.3,28.8575,28.955,30586300
2017-01-03,28.95,29.0825,28.69,29.0375,28781900
2017-01-04,28.9625,29.1275,28.9375,29.005,21118100
2017-01-05,28.98,29.215,28.9525,29.1525,22193600
2017-01-06,29.195,29.54,29.1175,29.4775,31751900
2017-01-09,29.4875,29.8575,29.485,29.7475,33561900
2017-01-10,29.6925,29.845,29.575,29.7775,24462100
2017-01-11,29.685,29.9825,29.65,29.9375,27588600
2017-01-12,29.725,29.825,29.5525,29.8125,27086200
2017-01-13,29.7775,29.905,29.7025,29.76,26111900
2017-01-17,29.585,30.06,29.555,30.0,34439800
2017-01-18,30.0,30.125,29.9275,29.9975,23713000
2017-01-19,29.85,30.0225,29.8425,29.945,25597300
2017-01-20,30.1125,30.1125,29.9325,30.0,32597900
2017-01-23,30.0,30.2025,29.9425,30.02,22050200
2017-01-24,29.8875,30.025,29.875,29.9925,23211000
2017-01-25,30.105,30.525,30.07,30.47,32377600
2017-01-26,30.4175,30.61,30.4,30.485,26337600
2017-01-27,30.535,30.5875,30.4,30.4875,20562900
2017-01-30,30.2325,30.4075,30.165,30.4075,30377500
2017-01-31,30.2875,30.3475,30.155,30.3375,49201000
2017-02-01,31.7575,32.6225,31.7525,32.1875,111985000
2017-02-02,31.995,32.3475,31.945,32.1325,33710400
2017-02-03,32.0775,32.2975,32.04,32.27,24507300
2017-02-06,32.2825,32.625,32.225,32.5725,26845900
2017-02-07,32.635,33.0225,32.6125,32.8825,38183800
2017-02-08,32.8375,33.055,32.805,33.01,23004100
2017-02-09,32.9125,33.1125,32.78,33.105,28349900
2017-02-10,33.115,33.235,33.0125,33.03,20065500
2017-02-13,33.27,33.455,33.1875,33.3225,23035400
2017-02-14,33.3675,33.7725,33.3125,33.755,33226200
2017-02-15,33.88,34.0675,33.655,33.8775,35623100
2017-02-16,33.9175,33.975,33.71,33.8375,22584600
2017-02-17,33.775,33.9575,33.775,33.93,22198200
2017-02-21,34.0575,34.1875,33.995,34.175,24507200
2017-02-22,34.1075,34.28,34.0275,34.2775,20836900
2017-02-23,34.345,34.37,34.075,34.1325,20788200
2017-02-24,33.9775,34.165,33.82,34.165,21776600
2017-02-27,34.285,34.36,34.07,34.2325,20257400
2017-02-28,34.27,34.36,34.175,34.2475,23482900
2017-03-01,34.4725,35.0375,34.4,34.9475,36414600
2017-03-02,35.0,35.07,34.69,34.74,26211000
2017-03-03,34.695,34.9575,34.6475,34.945,21108100
2017-03-06,34.8425,34.9425,34.65,34.835,21750000
2017-03-07,34.765,34.995,34.6975,34.88,17446300
2017-03-08,34.7375,34.95,34.705,34.75,18707200
2017-03-09,34.685,34.6975,34.2625,34.67,22155900
2017-03-10,34.8125,34.84,34.66,34.785,19612800
2017-03-13,34.7125,34.8575,34.705,34.8,17421700
2017-03-14,34.825,34.9125,34.71,34.7475,15309100
2017-03-15,34.8525,35.1875,34.7575,35.115,25691800
2017-03-16,35.18,35.255,35.065,35.1725,19232000
2017-03-17,35.25,35.25,34.9725,34.9975,43885000
2017-03-20,35.1,35.375,35.0575,35.365,21542000
2017-03-21,35.5275,35.7,34.9325,34.96,39529900
2017-03-22,34.9625,35.4,34.94,35.355,25860200
2017-03-23,35.315,35.395,35.1525,35.23,20346300
2017-03-24,35.375,35.435,35.0875,35.16,22395600
2017-03-27,34.8475,35.305,34.655,35.22,23575100
